File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Entities\Drone.cs,82,65,44,11,17,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Entities\Entity.cs,177,141,97,15,34,0,2,4,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Entities\EntityEnemy.cs,68,55,34,11,13,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Entities\EntityPlayer.cs,53,31,19,10,10,1,12,29,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Entities\HealerDrone.cs,83,64,53,5,17,0,2,6,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Health\ColorModHealth.cs,33,21,15,3,8,0,4,16,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Health\Health.cs,136,102,69,17,32,0,2,11,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Health\PlayerHealth.cs,68,56,43,4,12,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Interfaces\IColorable.cs,10,4,3,0,6,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Loot\Loot.cs,41,31,25,2,10,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Loot\LootMaster.cs,105,82,56,14,22,3,1,38,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Misc\AutoSetPosition.cs,34,24,18,2,9,0,1,3,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Misc\AutoSpin.cs,63,39,28,6,20,0,4,20,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Misc\DrawInChildren.cs,39,31,23,3,8,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Misc\GlobalDOT.cs,40,33,24,4,7,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Misc\Growth.cs,71,53,38,8,16,0,2,6,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Misc\MainMenu.cs,46,36,27,1,10,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Misc\MultiSpriteExplosion.cs,28,22,17,2,5,0,1,4,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Misc\Reticle.cs,97,78,53,15,14,0,5,20,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Misc\ShopItem.cs,74,53,38,7,16,0,5,18,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Misc\SimpleTutorial.cs,121,94,64,17,25,0,2,4,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Misc\SpriteExplosion.cs,18,13,9,1,5,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Misc\TutVisualAid.cs,77,58,40,8,18,0,1,3,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Misc\UpgradeShop.cs,73,57,39,10,15,0,1,25,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Misc\VortexChildFix.cs,24,18,12,3,5,0,1,3,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Movement\BasicMovement.cs,194,123,72,32,67,0,4,25,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Movement\CorralMovement.cs,89,66,48,9,13,0,10,30,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Movement\CrelenatorMovement.cs,55,40,28,5,14,0,1,15,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Movement\EasyTarget.cs,19,13,9,1,6,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Movement\EntityMovement.cs,22,15,10,1,7,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Movement\GalaMovement.cs,69,56,38,8,13,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Movement\HoverMovement.cs,39,24,17,5,15,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Movement\PlayerMovement.cs,10,8,6,0,2,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Movement\SinWaveMovement.cs,67,52,37,6,14,2,1,13,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Movement\SpinnerMovement.cs,134,102,72,13,31,0,1,4,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Movement\SpinnerShotMovement.cs,38,30,22,3,8,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Movement\SwayMovement.cs,46,32,22,4,13,0,1,5,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Movement\TeleporterMovement.cs,96,76,54,8,20,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Movement\ZipperMovement.cs,49,39,28,3,10,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Movement\SpecalMovement\OscillateMovement.cs,38,22,16,1,12,0,4,10,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Movement\SpecalMovement\SinWaveChildPulse.cs,98,62,42,9,28,0,8,19,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\PowerUps\AmmoUp.cs,12,9,6,0,3,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\PowerUps\ForceShield.cs,27,21,16,1,6,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\PowerUps\HealthUp.cs,17,11,8,1,4,0,2,15,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\PowerUps\HullReinforce.cs,12,9,6,0,3,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\PowerUps\LootSplosion.cs,31,24,18,1,7,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\PowerUps\MobSpinner.cs,26,19,13,4,7,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\PowerUps\OneShotWeapon.cs,14,12,8,2,2,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\PowerUps\PowerUp.cs,48,38,29,3,9,0,1,13,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Projectiles\EventHorizon.cs,29,22,16,4,7,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Projectiles\GuidedMissile.cs,69,58,42,6,11,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Projectiles\LingeringProjectile.cs,66,51,34,8,14,0,1,3,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Projectiles\MultiShot.cs,42,31,24,3,10,0,1,3,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Projectiles\OmegaBeamBlue.cs,71,31,24,2,15,0,25,69,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Projectiles\Projectile.cs,240,146,99,20,53,1,41,156,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Projectiles\SpawnerShot.cs,29,21,15,2,8,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Projectiles\Vortex.cs,30,18,12,3,11,0,1,12,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Projectiles\ZapSphere.cs,56,40,24,4,15,0,1,3,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Spawners\ColorModGenerator.cs,214,168,120,25,41,1,5,19,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Spawners\MasterSpawner.cs,155,122,89,19,29,1,4,17,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Spawners\RandomSpawner.cs,192,133,98,18,46,0,13,42,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Spawners\SpawnBirthPod.cs,50,40,30,3,10,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Upgrades\AmmoRegen.cs,38,28,20,2,9,0,1,5,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Upgrades\DetonateEnemy.cs,38,31,23,2,7,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Upgrades\DroneBay.cs,61,51,38,8,10,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Upgrades\EnergyDisk.cs,53,40,32,2,13,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Upgrades\EquipNewWeapon.cs,63,45,35,4,15,0,3,32,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Upgrades\FreeMovement.cs,37,30,21,4,7,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Upgrades\HealMotes.cs,44,28,21,2,12,0,4,16,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Upgrades\HomingShots.cs,51,44,34,4,7,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Upgrades\ModifyProjectile.cs,46,33,21,6,13,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Upgrades\PenetratingShots.cs,33,27,19,3,6,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Upgrades\ShieldGen.cs,67,54,40,5,13,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Upgrades\TriShot.cs,60,44,35,3,11,1,5,56,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Upgrades\Upgrade.cs,60,46,32,4,14,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\AutoTurret.cs,35,27,21,1,7,0,1,1,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\DroneLauncher.cs,76,62,43,11,12,0,2,14,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\EggLauncher.cs,45,35,27,2,10,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\Laser.cs,147,106,80,15,24,0,17,85,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\LaserImpact.cs,87,54,38,8,16,0,17,40,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\LineRenderLaser.cs,25,18,15,0,7,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\Missile.cs,51,38,27,5,12,0,1,3,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\MissileSwarmer.cs,50,42,27,6,8,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\MultiLaser.cs,100,56,42,7,24,0,20,83,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\MultiWeapon.cs,71,48,37,6,21,0,2,8,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\MultiWeapon_Old.cs,41,29,24,2,11,0,1,3,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\ShotGun.cs,24,18,13,1,6,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\TargetingWeapon.cs,107,77,55,10,27,0,3,8,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\Weapon.cs,211,161,112,22,39,0,11,29,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\WeaponBattery.cs,14,6,4,0,8,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\HelperScripts\DeathMissileController.cs,23,17,14,0,6,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Weapons\HelperScripts\SpecialWeaponController.cs,50,36,21,8,14,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\__Deprecated\FragmentHome.cs,16,11,6,1,5,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\__Deprecated\PartingGift.cs,101,75,54,13,21,0,5,23,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\__Deprecated\Spawner.cs,129,80,54,6,30,0,19,59,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\__Deprecated\SpinnerShot.cs,62,4,3,0,9,0,49,118,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\__Deprecated\SwayStar.cs,44,33,22,3,11,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\__Tools\EnumList.cs,209,152,95,34,55,0,2,6,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\__Tools\GameOptions.cs,17,13,9,1,4,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\__Tools\ParticleWrapFix.cs,32,18,13,1,6,0,8,14,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\__Tools\Preserve.cs,9,7,5,0,2,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\__Tools\ScreenWrap.cs,102,87,62,13,15,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\__Tools\SpriteSwapper.cs,28,18,15,1,8,0,2,6,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\__Tools\TargetUtils.cs,136,100,74,26,34,0,2,12,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\__UI\PauseScreen.cs,54,44,31,6,10,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\__UI\UIText.cs,21,13,10,0,5,0,3,12,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\__UI\UpgradeIconPanelFix.cs,17,12,9,1,5,0,0,0,0,0
